Álbum,Canción,Colaboraciones,Duración,Escuchas
Aunque Es De Noche,Aunque Es De Noche,ROSALÍA,4:13,27.261.311
Los Ángeles,Si Tú Supieras Compañero,ROSALÍA,6:04,18.470.970
Los Ángeles,De Plata,ROSALÍA,4:28,12.995.424
Los Ángeles,Nos Quedamos Solitos,ROSALÍA,5:15,12.803.601
Los Ángeles,Catalina,ROSALÍA,3:34,43.343.999
Los Ángeles,Día 14 De Abril,ROSALÍA,6:06,7.536.204
Los Ángeles,Que Se Muere Que Se Muere,ROSALÍA,1:28,11.057.990
Los Ángeles,Por Mi Puerta No Lo Pasen,ROSALÍA,4:39,6.977.004
Los Ángeles,Te Venero,ROSALÍA,4:06,6.781.366
Los Ángeles,Por Castigarme Tan Fuerte,ROSALÍA,2:08,6.575.463
Los Ángeles,La Hija De Juan Simón,ROSALÍA,4:09,8.916.067
Los Ángeles,El Redentor,ROSALÍA,3:01,5.610.491
Los Ángeles,I See A Darkness,ROSALÍA,4:08,8.360.695
